"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL","TSVALNF","TSVALCD","TSVCDREF","TSVCDVER"
"EPQAC","TS","1","","ACTSUB","Actual Number of Subjects","1250","","","",""
"EPQAC","TS","1","","SEXPOP","Sex of Participants","BOTH","","C49636","CDISC","2019-06-28"
"EPQAC","TS","1","","AGEMAX","Planned Maximum Age of Subjects","P59M","","","ISO 8601",""
"EPQAC","TS","1","","AGEMIN","Planned Minimum Age of Subjects","P3M","","","ISO 8601",""
"EPQAC","TS","1","","HLTSUBJI","Healthy Subject Indicator","N","","C49487","CDISC","2022-12-17"
"EPQAC","TS","1","","TDIGRP","Diagnosis Group","Malaria","","61462000","SNOMED","2019-03-01"
"EPQAC","TS","1","","INDIC","Trial Disease/Condition Indication","Malaria","","61462000","SNOMED","2018-09-01"
"EPQAC","TS","1","","AEMETHD","Adverse Event Method Description","Parents or guardians were encouraged to bring children to the clinic for any illness during the 28 day follow-up. Treatment of uncomplicated malaria was with oral artemether-lumefantrine (AL) and severe malaria was with parenteral or rectal artesunate followed by AL","","","",""
"EPQAC","TS","1","SP-AQ","ARMDESC","Arm Description","A single oral dose of sulfadoxinepyrimethamine (SP: infants 250/12.5mg; older children 500/25mg) was given, and amodiaquine (AQ: Infants: 75mg, older children 1-5 years: 150 mg) was given once daily for three days.","","","",""
"EPQAC","TS","2","DHA-PPQ","ARMDESC","Arm Description","In the third village children were randomized 2:1 to receive either DP or no drug. DP (D-ARTEPP � dispersible tablets, Fosun Pharma; 20mg dihydroartemisinin/160mg piperaquine) was given according to the WHO recommended weightbased dosing regimen.","","","",""
"EPQAC","TS","3","PER CLIN GUIDE","ARMDESC","Arm Description","In the third village children were randomized 2:1 to receive either DP or no drug.","","","",""
"EPQAC","TS","1","PER CLIN GUIDE","COMPTRT","Comparative Treatment Name","","NA","","",""
"EPQAC","TS","1","","CURTRT","Current Therapy or Treatment","","NA","","",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","TRT","Investigational Therapy or Treatment","SULFADOXINE","","88463U4SM5","UNII",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","TRT","Investigational Therapy or Treatment","PYRIMETHAMINE","","Z3614QOX8W","UNII",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","TRT","Investigational Therapy or Treatment","AMODIAQUINE","","220236ED28","UNII",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","TRT","Investigational Therapy or Treatment","ARTENIMOL","","6A9O50735X","UNII",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","TRT","Investigational Therapy or Treatment","PIPERAQUINE","","A0HV2Q956Y","UNII",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"EPQAC","TS","1","SP-AQ_SULFADOXINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","MNFCNTRY","Country of Manufacture","","UNK","","",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","MNFNAM","Manufacturer Name","","UNK","","",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","MNFNAM","Manufacturer Name","","UNK","","",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","MNFNAM","Manufacturer Name","","UNK","","",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","MNFNAM","Manufacturer Name","Fosun Pharma","","","",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","MNFNAM","Manufacturer Name","Fosun Pharma","","","",""
"EPQAC","TS","1","SP-AQ_SULFADOXINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"EPQAC","TS","2","SP-AQ_PYRIMETHAMINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"EPQAC","TS","3","SP-AQ_AMODIAQUINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"EPQAC","TS","4","DHA-PPQ_ARTENIMOL","MNFBRND","Manufacturer Brand Name","D-ARTEPP","","","",""
"EPQAC","TS","5","DHA-PPQ_PIPERAQUINE","MNFBRND","Manufacturer Brand Name","D-ARTEPP","","","",""
"EPQAC","TS","1","","FCNTRY","Planned Country of Investigational Sites","Uganda","","UGA","ISO 3166",""
"EPQAC","TS","1","","INTMODEL","Intervention Model","PARALLEL","","C82639","CDISC","2022-12-17"
"EPQAC","TS","1","","INTTYPE","Intervention Type","DRUG","","C1909","CDISC","2022-12-17"
"EPQAC","TS","1","","TCNTRL","Control Type","NONE","","C41132","CDISC","2021-12-17"
"EPQAC","TS","1","","TINDTP","Trial Intent Type","PREVENTION","","C49657","CDISC","2021-12-17"
"EPQAC","TS","1","","TTYPE","Trial Type","PREVENTION","","C49657","CDISC","2021-12-17"
"EPQAC","TS","1","","TITLE","Trial Title","A Hybrid Effectiveness-implementation Study to Assess the Effectiveness andChemoprevention Efficacy of Implementing Seasonal Malaria Chemoprevention in FiveDistricts in Karamoja Region, Uganda","","","",""
"EPQAC","TS","1","","NARMS","Planned Number of Arms","3","","","",""
"EPQAC","TS","1","","NCOHORT","Number of Groups/Cohorts","1","","","",""
"EPQAC","TS","1","","COHODESC","Description of Groups/Cohorts","This study was conducted in three large village areas in the Karamoja region, north-eastern Uganda","","","",""
"EPQAC","TS","1","","OBSMODEL","Observational Model","","NA","","",""
"EPQAC","TS","1","","OBSTIMP","Observational Time Perspective","","NA","","",""
"EPQAC","TS","1","","OBSTPOPD","Obs Study Population Description","","NA","","",""
"EPQAC","TS","1","","OBSTSMM","Observational Study Sampling Method","","NA","","",""
"EPQAC","TS","1","","OBSTSMMD","Obs Study Sampling Method Description","","NA","","",""
"EPQAC","TS","1","","PLANSUB","Planned Number of Subjects","7194","","","",""
"EPQAC","TS","1","","PLNTRDUR","Planned Trial Duration","P5M","","","ISO 8601",""
"EPQAC","TS","1","","PUBMEDID","PubMed ID for Citation Used in Study","","UNK","","",""
"EPQAC","TS","1","","OTHPUBID","Non PubMed Citation Used in Study","","UNK","","",""
"EPQAC","TS","1","","RANDOM","Trial is Randomized","Y","","C49488","CDISC","2022-12-17"
"EPQAC","TS","1","","RANDDESC","Randomization Description","Study supervisors used household lists compiled by the Village Health Teams to identify villages. They then randomly selected 10 households per village with >=1 eligible child. SPAQ was deployed in two villages and, in the third, children were randomized 2:1 to receive either DP or no drug.","","","",""
"EPQAC","TS","1","","RANDQT","Randomization Quotient","","UNK","","",""
"EPQAC","TS","1","","REGID","Registry Identifier","NCT05323721","","","ClinicalTrials.gov",""
"EPQAC","TS","1","","SENDTC","Study End Date","2022-11-01","","","ISO 8601",""
"EPQAC","TS","1","","SSTDTC","Study Start Date","2022-06-01","","","ISO 8601",""
"EPQAC","TS","1","","STRATFCT","Stratification Factor","","UNK","","",""
"EPQAC","TS","1","","STRADESC","Stratification Description","","UNK","","",""
"EPQAC","TS","1","","STYPE","Study Type","INTERVENTIONAL","","C98388","CDISC","2022-12-17"
"EPQAC","TS","1","","TBLIND","Trial Blinding Schema","OPEN LABEL","","C49659","CDISC","2021-12-17"
"EPQAC","TS","1","","TBLNDESC","Trial Blinding Description","","UNK","","",""
"EPQAC","TS","1","","TPHASE","Trial Phase Classification","PHASE IV TRIAL","","C15603","CDISC","2021-12-17"
"EPQAC","TS","1","","TRGFUDUR","Target Follow-Up Duration","P28D","","","ISO 8601",""
"EPQAC","TS","1","","PARSMPSC","Parasite Sampling Schedule","malaria slides were prepared and dried blood spots (DBS) were stored on Whatman 31 ET Chromatography filter paper (Cat. No. 3031-915) on days 0, 7, 14, 21 and 28","","","",""
"EPQAC","TS","1","","PARSMPFQ","Parasite Sampling Frequency","DAILY","","","",""
"EPQAC","TS","1","","MICRODES","Microscopy Description","Asexual and sexual stage parasite counts were counted by experienced microscopists who examined blood slides from PCR identified recurrent infections.","","","",""
"EPQAC","TS","1","","MICRONEG","Microscopy Negative Smear Rule","","UNK","","",""
"EPQAC","TS","1","","PARSMWBC","Parasite Thick Smear Reading WBCs","","UNK","","",""
"EPQAC","TS","1","","GAMSMWBC","Gametocyte Micro Thick Smear Reading","","UNK","","",""
"EPQAC","TS","1","","PARSMRBC","Parasite Thin Smear Reading RBCs","","UNK","","",""
"EPQAC","TS","1","","PARSMHPF","Parasite Reading HPFs","","UNK","","",""
"EPQAC","TS","1","","GAMSMHPF","Gametocyte Reading HPFs","","UNK","","",""
"EPQAC","TS","1","","MICROTYP","Microscopy Thick Smear WBC Type","","UNK","","",""
"EPQAC","TS","1","","MICROWBC","Microscopy Assumed WBC","","UNK","","",""
"JWJEF","TS","1","","ACTSUB","Actual Number of Subjects","600","","","",""
"JWJEF","TS","1","","SEXPOP","Sex of Participants","BOTH","","C49636","CDISC","2019-06-28"
"JWJEF","TS","1","","AGEMAX","Planned Maximum Age of Subjects","P59M","","","ISO 8601",""
"JWJEF","TS","1","","AGEMIN","Planned Minimum Age of Subjects","P3M","","","ISO 8601",""
"JWJEF","TS","1","","HLTSUBJI","Healthy Subject Indicator","N","","C49487","CDISC","2022-12-17"
"JWJEF","TS","1","","TDIGRP","Diagnosis Group","Malaria","","61462000","SNOMED","2019-03-01"
"JWJEF","TS","1","","INDIC","Trial Disease/Condition Indication","Malaria","","61462000","SNOMED","2018-09-01"
"JWJEF","TS","1","","AEMETHD","Adverse Event Method Description","","UNK","","",""
"JWJEF","TS","1","SP-AQ","ARMDESC","Arm Description","Five monthly cycles of SMC using SPAQ targeting 85,000 children were implemented in Kotido and Moroto with an average of 83,300 (98%) of these receiving monthly doses between May and September 2021. SMC was distributed door-to-door by community health workers also known as Village Health Teams (VHTs) in Uganda. Only children who received full 3 day courses of SPAQ were considered to have received SMC. The dosing regimen provided by the data requestor (Dhruv Darji) is as follows: Infants 3 to <12 months of age: a single dose of a tablet of 250/12.5 mg SP and three 75 mg tablets of AQ base. The tablet of SP and one tablet of AQ is given on day 1; tablets two and three of AQ are given on days 2 and 3, respectively; Children aged 12�59 months: a single dose of a tablet of 500/25 mg SP and three tablets of 150 mg AQ base. The tablet of SP and one tablet of AQ is given on day 1; tablets two and three of AQ are given on days 2 and 3, respectively.","","","",""
"JWJEF","TS","2","PER CLIN GUIDE","ARMDESC","Arm Description","A third district, Nabilatuk, served as a control where SMC was not implemented.","","","",""
"JWJEF","TS","1","PER CLIN GUIDE","COMPTRT","Comparative Treatment Name","","NA","","",""
"JWJEF","TS","1","","CURTRT","Current Therapy or Treatment","","NA","","",""
"JWJEF","TS","1","SP-AQ_SULFADOXINE","TRT","Investigational Therapy or Treatment","SULFADOXINE","","88463U4SM5","UNII",""
"JWJEF","TS","2","SP-AQ_PYRIMETHAMINE","TRT","Investigational Therapy or Treatment","PYRIMETHAMINE","","Z3614QOX8W","UNII",""
"JWJEF","TS","3","SP-AQ_AMODIAQUINE","TRT","Investigational Therapy or Treatment","AMODIAQUINE","","220236ED28","UNII",""
"JWJEF","TS","1","SP-AQ_SULFADOXINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"JWJEF","TS","2","SP-AQ_PYRIMETHAMINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"JWJEF","TS","3","SP-AQ_AMODIAQUINE","TTRGDOSE","Total Target Dose Mg/Kg","","UNK","","",""
"JWJEF","TS","1","SP-AQ_SULFADOXINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"JWJEF","TS","2","SP-AQ_PYRIMETHAMINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"JWJEF","TS","3","SP-AQ_AMODIAQUINE","ROUTE","Route of Administration","ORAL","","C38288","CDISC","2022-12-17"
"JWJEF","TS","1","SP-AQ_SULFADOXINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"JWJEF","TS","2","SP-AQ_PYRIMETHAMINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"JWJEF","TS","3","SP-AQ_AMODIAQUINE","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"JWJEF","TS","1","SULFADOXINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"JWJEF","TS","2","PYRIMETHAMINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"JWJEF","TS","3","AMODIAQUINE","MNFCNTRY","Country of Manufacture","","UNK","","",""
"JWJEF","TS","1","SULFADOXINE","MNFNAM","Manufacturer Name","","UNK","","",""
"JWJEF","TS","2","PYRIMETHAMINE","MNFNAM","Manufacturer Name","","UNK","","",""
"JWJEF","TS","3","AMODIAQUINE","MNFNAM","Manufacturer Name","","UNK","","",""
"JWJEF","TS","1","SULFADOXINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"JWJEF","TS","2","PYRIMETHAMINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"JWJEF","TS","3","AMODIAQUINE","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"JWJEF","TS","1","","FCNTRY","Planned Country of Investigational Sites","Uganda","","UGA","ISO 3166",""
"JWJEF","TS","1","","INTMODEL","Intervention Model","PARALLEL","","C82639","CDISC","2022-12-17"
"JWJEF","TS","1","","INTTYPE","Intervention Type","DRUG","","C1909","CDISC","2022-12-17"
"JWJEF","TS","1","","TCNTRL","Control Type","NONE","","C41132","CDISC","2021-12-17"
